ACEH,11951.91,12453.57,10289.99,11581.2
SUMATERA UTARA,208488.53,207756.79,153631.83,135334.39
SUMATERA BARAT,78815.58,84565.06,67159.49,65756.37
RIAU,351.45,217.27,306.22,138.92
JAMBI,1206.07,1892.18,1665.97,1111
SUMATERA SELATAN,49715.37,60187.49,51690.6,35073.88
BENGKULU,8224.19,10416.56,5983.25,4145.68
LAMPUNG,167856.96,223859.75,172107.96,156654.98
KEP. BANGKA BELITUNG,29.8,62.8,97.31,28.73
KEP. RIAU,2.64,2.45,2.62,2.75
DKI JAKARTA,0,0,0,0
JAWA BARAT,80001.52,95689.92,68213.91,59430.55
JAWA TENGAH,384545.62,404493.43,340315.45,377065.18
DI YOGYAKARTA,43015.18,42974.56,38391.14,31380.87
JAWA TIMUR,755071.41,817449.46,687502.66,722182.15
BANTEN,1760.92,1250.54,1375.5,2945.5
BALI,9410.75,10316.71,10245.83,7927.98
NUSA TENGGARA BARAT,177649.54,196064.93,156985.86,145562.61
NUSA TENGGARA TIMUR,99065.5,113624.53,111362.16,107094.89
KALIMANTAN BARAT,15624.22,16371.14,8916.04,4721.73
KALIMANTAN TENGAH,6028.2,7459.13,6591.87,5816.31
KALIMANTAN SELATAN,19264.07,25342.64,23340.2,28796.76
KALIMANTAN TIMUR,1786.83,3624.48,2526.48,1989.07
KALIMANTAN UTARA,211.58,163.32,75.36,292.82
SULAWESI UTARA,26006.08,34918.69,39055.74,42343.67
SULAWESI TENGAH,18065.17,22349.74,14152.43,14648.4
SULAWESI SELATAN,177861.46,196218.71,185724.95,213791.89
SULAWESI TENGGARA,18422.44,19674.51,19792.32,25124.41
GORONTALO,113572.62,140548.34,138958.14,125415.3
SULAWESI BARAT,5301.65,5670.96,1575.16,2297.16
MALUKU,2344.5,2698.04,3813.08,4324.52
MALUKU UTARA,1533.24,1694.49,2042.47,928
PAPUA BARAT,1048.65,1351.48,1099.9,1340.64
PAPUA,2956.92,3002.53,3067.83,2617.97
