ACEH,68247.73,72241.64,57835.8,63950.8
SUMATERA UTARA,1314467.47,1307477.02,956938.92,783126.62
SUMATERA BARAT,483055.73,569450.41,437814.33,425025.38
RIAU,1070.62,752.62,989.61,472.78
JAMBI,7420.62,10477.45,9719.01,7604.47
SUMATERA SELATAN,319803.02,460321.16,316505.64,211735.52
BENGKULU,53208.64,71755.99,36934.89,23415.58
LAMPUNG,1103357.14,1443095.58,1129111.67,971957.39
KEP. BANGKA BELITUNG,142.32,257.95,348.85,126.66
KEP. RIAU,12.71,12.59,12.84,15.22
DKI JAKARTA,0,0,0,0
JAWA BARAT,597987.46,727067.64,491527.65,418401.74
JAWA TENGAH,2259593.87,2424371.35,2128959.17,2279146.32
DI YOGYAKARTA,215817.44,218046.4,197154.61,169430.71
JAWA TIMUR,4429459.28,4952602.76,3991492.48,4134908.41
BANTEN,12415.66,9602.73,9393.64,20349.88
BALI,41738.08,53206.31,50117.54,34994.61
NUSA TENGGARA BARAT,1249261.84,1421921.9,1019224.88,860494.72
NUSA TENGGARA TIMUR,255903.73,293719.22,285344.59,255452.99
KALIMANTAN BARAT,68028.76,71717.47,44252.44,20284.05
KALIMANTAN TENGAH,22696.29,35933.96,35440.16,30998.17
KALIMANTAN SELATAN,119009.38,152255.06,135325.9,152796.9
KALIMANTAN TIMUR,10466.97,17045.44,14554.97,10584.65
KALIMANTAN UTARA,1025.1,859.57,385.1,1169.07
SULAWESI UTARA,88471,119008.39,166579.9,174417.59
SULAWESI TENGAH,75939.66,96199.79,63514.84,65595.66
SULAWESI SELATAN,1004274.67,1152062.7,1033341.18,1086933.12
SULAWESI TENGGARA,65519.3,78163.06,78350.27,98972.12
GORONTALO,531780.13,692439.15,669890.37,580370.29
SULAWESI BARAT,27644.98,30186.61,7966.76,11239.6
MALUKU,7153.27,15687,14691.93,14934.68
MALUKU UTARA,7226.97,7712.31,10328.93,3816.09
PAPUA BARAT,4622.86,6481.32,4753.17,5098.77
PAPUA,13778.62,15140.06,16119.68,11120.24
